trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.17727160740404,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-215.4739555946936,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.42570799505808,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.83052594188513,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-156.7968874419519,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.23120851895172,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.68545987338814,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.87582838425682,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.9901583162415,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.5788235837438,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-267.3814544411036,"{0: 12, 1: 6, 2: 7, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.26888051474869,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.6686586930749,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,3,-25.92377482731822,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-196.84531654627705,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.71440162670646,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,1,-80.06304474476195,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,4,-75.64848093791682,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.6612920747084,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.27580111350825,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-91.67792697316845,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
